id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us/state:az/county:apache,Apache County,,,,place-04001,,,,,,,
ocd-division/country:us/state:az/county:cochise,Cochise County,,,,place-04003,,,,,,,
ocd-division/country:us/state:az/county:coconino,Coconino County,,,,place-04005,,,,,,,
ocd-division/country:us/state:az/county:gila,Gila County,,,,place-04007,,,,,,,
ocd-division/country:us/state:az/county:graham,Graham County,,,,place-04009,,,,,,,
ocd-division/country:us/state:az/county:greenlee,Greenlee County,,,,place-04011,,,,,,,
ocd-division/country:us/state:az/county:la_paz,La Paz County,,,,place-04012,,,,,,,
ocd-division/country:us/state:az/county:maricopa,Maricopa County,,,,place-04013,,,,,,,
ocd-division/country:us/state:az/county:mohave,Mohave County,,,,place-04015,,,,,,,
ocd-division/country:us/state:az/county:navajo,Navajo County,,,,place-04017,,,,,,,
ocd-division/country:us/state:az/county:pima,Pima County,,,,place-04019,,,,,,,
ocd-division/country:us/state:az/county:pinal,Pinal County,,,,place-04021,,,,,,,
ocd-division/country:us/state:az/county:santa_cruz,Santa Cruz County,,,,place-04023,,,,,,,
ocd-division/country:us/state:az/county:yavapai,Yavapai County,,,,place-04025,,,,,,,
ocd-division/country:us/state:az/county:yuma,Yuma County,,,,place-04027,,,,,,,
ocd-division/country:us/state:az/place:apache_junction,Apache Junction city,,,,place-0402830,,,,,,,
ocd-division/country:us/state:az/place:avondale,Avondale city,,,,place-0404720,,,,,,,
ocd-division/country:us/state:az/place:benson,Benson city,,,,place-0405770,,,,,,,
ocd-division/country:us/state:az/place:bisbee,Bisbee city,,,,place-0406260,,,,,,,
ocd-division/country:us/state:az/place:buckeye,Buckeye town,,,,place-0407940,,,,,,,
ocd-division/country:us/state:az/place:bullhead_city,Bullhead City city,,,,place-0408220,,,,,,,
ocd-division/country:us/state:az/place:camp_verde,Camp Verde town,,,,place-0409690,,,,,,,
ocd-division/country:us/state:az/place:carefree,Carefree town,,,,place-0410180,,,,,,,
ocd-division/country:us/state:az/place:casa_grande,Casa Grande city,,,,place-0410530,,,,,,,
ocd-division/country:us/state:az/place:cave_creek,Cave Creek town,,,,place-0411300,,,,,,,
ocd-division/country:us/state:az/place:chandler,Chandler city,,,,place-0412000,,,,,,,
ocd-division/country:us/state:az/place:chino_valley,Chino Valley town,,,,place-0412840,,,,,,,
ocd-division/country:us/state:az/place:clarkdale,Clarkdale town,,,,place-0413890,,,,,,,
ocd-division/country:us/state:az/place:clifton,Clifton town,,,,place-0414380,,,,,,,
ocd-division/country:us/state:az/place:colorado_city,Colorado City town,,,,place-0414870,,,,,,,
ocd-division/country:us/state:az/place:coolidge,Coolidge city,,,,place-0415500,,,,,,,
ocd-division/country:us/state:az/place:cottonwood,Cottonwood city,,,,place-0416410,,,,,,,
ocd-division/country:us/state:az/place:dewey-humboldt,Dewey-Humboldt town,,,,place-0419145,,,,,,,
ocd-division/country:us/state:az/place:douglas,Douglas city,,,,place-0420050,,,,,,,
ocd-division/country:us/state:az/place:duncan,Duncan town,,,,place-0420750,,,,,,,
ocd-division/country:us/state:az/place:eagar,Eagar town,,,,place-0420960,,,,,,,
ocd-division/country:us/state:az/place:el_mirage,El Mirage city,,,,place-0422220,,,,,,,
ocd-division/country:us/state:az/place:eloy,Eloy city,,,,place-0422360,,,,,,,
ocd-division/country:us/state:az/place:flagstaff,Flagstaff city,,,,place-0423620,,,,,,,
ocd-division/country:us/state:az/place:florence,Florence town,,,,place-0423760,,,,,,,
ocd-division/country:us/state:az/place:fountain_hills,Fountain Hills town,,,,place-0425300,,,,,,,
ocd-division/country:us/state:az/place:fredonia,Fredonia town,,,,place-0425720,,,,,,,
ocd-division/country:us/state:az/place:gila_bend,Gila Bend town,,,,place-0427050,,,,,,,
ocd-division/country:us/state:az/place:gilbert,Gilbert town,,,,place-0427400,,,,,,,
ocd-division/country:us/state:az/place:glendale,Glendale city,,,,place-0427820,,,,,,,
ocd-division/country:us/state:az/place:globe,Globe city,,,,place-0428030,,,,,,,
ocd-division/country:us/state:az/place:goodyear,Goodyear city,,,,place-0428380,,,,,,,
ocd-division/country:us/state:az/place:guadalupe,Guadalupe town,,,,place-0430270,,,,,,,
ocd-division/country:us/state:az/place:hayden,Hayden town,,,,place-0432020,,,,,,,
ocd-division/country:us/state:az/place:holbrook,Holbrook city,,,,place-0433280,,,,,,,
ocd-division/country:us/state:az/place:huachuca_city,Huachuca City town,,,,place-0434120,,,,,,,
ocd-division/country:us/state:az/place:jerome,Jerome town,,,,place-0436290,,,,,,,
ocd-division/country:us/state:az/place:kearny,Kearny town,,,,place-0437200,,,,,,,
ocd-division/country:us/state:az/place:kingman,Kingman city,,,,place-0437620,,,,,,,
ocd-division/country:us/state:az/place:lake_havasu_city,Lake Havasu City city,,,,place-0439370,,,,,,,
ocd-division/country:us/state:az/place:litchfield_park,Litchfield Park city,,,,place-0441330,,,,,,,
ocd-division/country:us/state:az/place:mammoth,Mammoth town,,,,place-0443990,,,,,,,
ocd-division/country:us/state:az/place:marana,Marana town,,,,place-0444270,,,,,,,
ocd-division/country:us/state:az/place:maricopa,Maricopa city,,,,place-0444410,,,,,,,
ocd-division/country:us/state:az/place:mesa,Mesa city,,,,place-0446000,,,,,,,
ocd-division/country:us/state:az/place:miami,Miami town,,,,place-0446350,,,,,,,
ocd-division/country:us/state:az/place:nogales,Nogales city,,,,place-0449640,,,,,,,
ocd-division/country:us/state:az/place:oro_valley,Oro Valley town,,,,place-0451600,,,,,,,
ocd-division/country:us/state:az/place:page,Page city,,,,place-0451810,,,,,,,
ocd-division/country:us/state:az/place:paradise_valley,Paradise Valley town,,,,place-0452930,,,,,,,
ocd-division/country:us/state:az/place:parker,Parker town,,,,place-0453070,,,,,,,
ocd-division/country:us/state:az/place:patagonia,Patagonia town,,,,place-0453490,,,,,,,
ocd-division/country:us/state:az/place:payson,Payson town,,,,place-0453700,,,,,,,
ocd-division/country:us/state:az/place:peoria,Peoria city,,,,place-0454050,,,,,,,
ocd-division/country:us/state:az/place:phoenix,Phoenix city,,,,place-0455000,,,,,,,
ocd-division/country:us/state:az/place:pima,Pima town,,,,place-0455560,,,,,,,
ocd-division/country:us/state:az/place:pinetop-lakeside,Pinetop-Lakeside town,,,,place-0455980,,,,,,,
ocd-division/country:us/state:az/place:prescott,Prescott city,,,,place-0457380,,,,,,,
ocd-division/country:us/state:az/place:prescott_valley,Prescott Valley town,,,,place-0457450,,,,,,,
ocd-division/country:us/state:az/place:quartzsite,Quartzsite town,,,,place-0458010,,,,,,,
ocd-division/country:us/state:az/place:queen_creek,Queen Creek town,,,,place-0458150,,,,,,,
ocd-division/country:us/state:az/place:safford,Safford city,,,,place-0462000,,,,,,,
ocd-division/country:us/state:az/place:sahuarita,Sahuarita town,,,,place-0462140,,,,,,,
ocd-division/country:us/state:az/place:san_luis,San Luis city,,,,place-0463470,,,,,,,
ocd-division/country:us/state:az/place:scottsdale,Scottsdale city,,,,place-0465000,,,,,,,
ocd-division/country:us/state:az/place:sedona,Sedona city,,,,place-0465350,,,,,,,
ocd-division/country:us/state:az/place:show_low,Show Low city,,,,place-0466470,,,,,,,
ocd-division/country:us/state:az/place:sierra_vista,Sierra Vista city,,,,place-0466820,,,,,,,
ocd-division/country:us/state:az/place:snowflake,Snowflake town,,,,place-0467800,,,,,,,
ocd-division/country:us/state:az/place:somerton,Somerton city,,,,place-0468080,,,,,,,
ocd-division/country:us/state:az/place:south_tucson,South Tucson city,,,,place-0468850,,,,,,,
ocd-division/country:us/state:az/place:springerville,Springerville town,,,,place-0468990,,,,,,,
ocd-division/country:us/state:az/place:st_johns,St. Johns city,,,,place-0462350,,,,,,,
ocd-division/country:us/state:az/place:star_valley,Star Valley town,,,,place-0469480,,,,,,,
ocd-division/country:us/state:az/place:superior,Superior town,,,,place-0471300,,,,,,,
ocd-division/country:us/state:az/place:surprise,Surprise city,,,,place-0471510,,,,,,,
ocd-division/country:us/state:az/place:taylor,Taylor town,,,,place-0472420,,,,,,,
ocd-division/country:us/state:az/place:tempe,Tempe city,,,,place-0473000,,,,,,,
ocd-division/country:us/state:az/place:thatcher,Thatcher town,,,,place-0473420,,,,,,,
ocd-division/country:us/state:az/place:tolleson,Tolleson city,,,,place-0474190,,,,,,,
ocd-division/country:us/state:az/place:tombstone,Tombstone city,,,,place-0474400,,,,,,,
ocd-division/country:us/state:az/place:tucson,Tucson city,,,,place-0477000,,,,,,,
ocd-division/country:us/state:az/place:tusayan,Tusayan town,,,,place-0477490,,,,,,,
ocd-division/country:us/state:az/place:wellton,Wellton town,,,,place-0481480,,,,,,,
ocd-division/country:us/state:az/place:wickenburg,Wickenburg town,,,,place-0482740,,,,,,,
ocd-division/country:us/state:az/place:willcox,Willcox city,,,,place-0483090,,,,,,,
ocd-division/country:us/state:az/place:williams,Williams city,,,,place-0483160,,,,,,,
ocd-division/country:us/state:az/place:winkelman,Winkelman town,,,,place-0483790,,,,,,,
ocd-division/country:us/state:az/place:winslow,Winslow city,,,,place-0483930,,,,,,,
ocd-division/country:us/state:az/place:youngtown,Youngtown town,,,,place-0485400,,,,,,,
ocd-division/country:us/state:az/place:yuma,Yuma city,,,,place-0485540,,,,,,,
