id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us/state:nv/county:carson_city,Carson City,ocd-division/country:us/state:nv/place:carson_city,Carson City NV -- indepdent city: not a county,,,,,,,,,
ocd-division/country:us/state:nv/county:churchill,Churchill County,,,,place-32001,,,,,,,
ocd-division/country:us/state:nv/county:clark,Clark County,,,,place-32003,,,,,,,
ocd-division/country:us/state:nv/county:douglas,Douglas County,,,,place-32005,,,,,,,
ocd-division/country:us/state:nv/county:elko,Elko County,,,,place-32007,,,,,,,
ocd-division/country:us/state:nv/county:esmeralda,Esmeralda County,,,,place-32009,,,,,,,
ocd-division/country:us/state:nv/county:eureka,Eureka County,,,,place-32011,,,,,,,
ocd-division/country:us/state:nv/county:humboldt,Humboldt County,,,,place-32013,,,,,,,
ocd-division/country:us/state:nv/county:lander,Lander County,,,,place-32015,,,,,,,
ocd-division/country:us/state:nv/county:lincoln,Lincoln County,,,,place-32017,,,,,,,
ocd-division/country:us/state:nv/county:lyon,Lyon County,,,,place-32019,,,,,,,
ocd-division/country:us/state:nv/county:mineral,Mineral County,,,,place-32021,,,,,,,
ocd-division/country:us/state:nv/county:nye,Nye County,,,,place-32023,,,,,,,
ocd-division/country:us/state:nv/county:pershing,Pershing County,,,,place-32027,,,,,,,
ocd-division/country:us/state:nv/county:storey,Storey County,,,,place-32029,,,,,,,
ocd-division/country:us/state:nv/county:washoe,Washoe County,,,,place-32031,,,,,,,
ocd-division/country:us/state:nv/county:white_pine,White Pine County,,,,place-32033,,,,,,,
ocd-division/country:us/state:nv/place:boulder_city,Boulder City city,,,,place-3206500,,,,,,,
ocd-division/country:us/state:nv/place:caliente,Caliente city,,,,place-3208500,,,,,,,
ocd-division/country:us/state:nv/place:carlin,Carlin city,,,,place-3208900,,,,,,,
ocd-division/country:us/state:nv/place:carson_city,Carson City,,,,place-3209700,,,,,,,
ocd-division/country:us/state:nv/place:elko,Elko city,,,,place-3222500,,,,,,,
ocd-division/country:us/state:nv/place:ely,Ely city,,,,place-3223500,,,,,,,
ocd-division/country:us/state:nv/place:fallon,Fallon city,,,,place-3224100,,,,,,,
ocd-division/country:us/state:nv/place:fernley,Fernley city,,,,place-3224900,,,,,,,
ocd-division/country:us/state:nv/place:henderson,Henderson city,,,,place-3231900,,,,,,,
ocd-division/country:us/state:nv/place:las_vegas,Las Vegas city,,,,place-3240000,,,,,,,
ocd-division/country:us/state:nv/place:lovelock,Lovelock city,,,,place-3243000,,,,,,,
ocd-division/country:us/state:nv/place:mesquite,Mesquite city,,,,place-3246000,,,,,,,
ocd-division/country:us/state:nv/place:north_las_vegas,North Las Vegas city,,,,place-3251800,,,,,,,
ocd-division/country:us/state:nv/place:reno,Reno city,,,,place-3260600,,,,,,,
ocd-division/country:us/state:nv/place:sparks,Sparks city,,,,place-3268400,,,,,,,
ocd-division/country:us/state:nv/place:wells,Wells city,,,,place-3283000,,,,,,,
ocd-division/country:us/state:nv/place:west_wendover,West Wendover city,,,,place-3283730,,,,,,,
ocd-division/country:us/state:nv/place:winnemucca,Winnemucca city,,,,place-3284800,,,,,,,
ocd-division/country:us/state:nv/place:yerington,Yerington city,,,,place-3285400,,,,,,,
